type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage
single_family,,"Attention investors, renovators, and savvy buyers seeking exceptional value in Wyoming County, New York - [Redacted Entity] in the Village of Perry presents a rare opportunity to transform a character-rich, circa-1890 four-bedroom, three-full-bath home into your dream property at an unbeatable price point. This fixer-upper is loaded with good bones and standout features, including original hardwood floors throughout 1st floor, custom cherry kitchen cabinets, multiple private balconies perfect for enjoying the fresh Western New York air, & a massive workshop area ideal for hobbyists, craftsmen, contractors, or anyone craving serious storage and flex space. The home sits on a 0.19-acre lot in one of Upstate New York's most charming small communities, nestled between two crown jewels of the region - the world-famous Letchworth State Park, voted the best state park in America, & picturesque Silver Lake, both just minutes away. Perry, NY is an up-and-coming arts and culinary destination featuring Silver Lake Brewing Project, the Charcoal Corral, and Silver Lake Twin Drive-In, the Perry Farmers Market, Wyoming County International Speedway, Prehistoric World reptile zoo, & a quaint Main Street dining and gallery scene. Outdoor enthusiasts enjoy boating, swimming, hiking, fishing, and year-round recreation right outside their door. Commuters and travelers will appreciate the outstanding regional access: Route 390 and Route 20A provide quick connections to Rochester (approximately 45 minutes), while Route 400 and Route 20A connect to Buffalo (approximately one hour), & the NYS Thruway I-90 is accessible via Batavia to the north. Greater Rochester International Airport (ROC) and Buffalo Niagara International Airport (BUF) are both within comfortable driving distance. Warsaw, the Wyoming County seat, is under 15 minutes away. Whether you are a house flipper seeking strong ROI in an appreciating market, a contractor looking for a live-work property with workshop space, or a buyer ready to create equity in a growing community, [Redacted Entity] delivers the location, layout, & lifestyle potential you have been searching for. Perry NY real estate rarely offers this combination!",85000.0,1800.0,4.0,4.0,3.0,3.0,3.0,
single_family,,"Grand 2 story Colonial with palace sized rooms on over 2 ACRES with a 2-car garage! Built ins, hardwood floors & wide trim adorn this wonderful home! Front Foyer with staircase that boasts the original open railings! Family room features a full fireplace with mantle & flanked by open bookcases! PLUSH White carpet over original Hardwood Floors! Plenty of natural lighting through the triple bay window! The living areas are Freshly painted in sea salt with white trim! Archway opens to the GRAND dining room that will fits all your guests on holidays and special occasions! The kitchen has plenty of cabinets and countertops! Eating area with built ins! The Sliding door overlooks the rear yard! Powder Room! 1st Floor Office / Den ! Upstairs has 4 good sized bedrooms and a NEW FULL BATH with double sinks and tub and shower! Main bedroom has a walk-in closet and a French door that leads to the balcony! The upstairs has beautiful OAK FLOORS! Full Walkup attic for plenty of easy access storage! Full basement! Thermopane Windows! Deep 2 car garage! The Property opens up behind the garage into your own 2 + acre PARK surrounded by wood lines! Thermopane windows! Delayed negotiations Please submit all offers by MONDAY 3/9 at 3pm.",174900.0,1917.0,2.0,4.0,2.0,1.0,1.0,2.0
single_family,,"Welcome to this charming 4-bedroom, 2 bath Cape Cod nestled on a private, tree-lined lot in the town of Camillus. This well-maintained home offers a fantastic opportunity to make it your own, with solid bones and timeless character throughout. Step inside to find a spacious and functional layout featuring a bright living area and an eat-in kitchen ready for your personal touch. This home has been lovingly cared for over the years. Beneath the carpeting on the first floor, you'll find hardwood floors waiting to be uncovered and restored to their original beauty. With four bedrooms and two full bathrooms, this home offers flexibility for a variety of living arrangements, whether you need space for guests, a home office, or hobbies. One of the standout features of this property is the lovely setting. On nearly a third of an acre, this lot offers the convenience of neighborhood living, alongside the beauty of mature trees and wooded areas. The backyard offers a peaceful retreat-perfect for relaxing, entertaining, or simply enjoying nature. Conveniently located near shopping, dining, and major routes, this home combines privacy with accessibility. Whether you're a first-time buyer, investor, or someone looking to customize a home to your taste, this property presents a wonderful opportunity. Don't miss your chance to unlock the potential of this classic Cape Cod in a beautiful setting!",239900.0,1536.0,,4.0,2.0,2.0,2.0,1.0
single_family,,"Welcome to this well maintained 3-bedroom, 2-bath Ranch, built in 1992 and nicely positioned in a peaceful development setting nestled between Glens Falls, Schuylerville, and Saratoga Springs/Wilton Mall. Set on .7 acres, the property offers the best of both worlds: a private, country feel with forever-wild land as your backyard backdrop, while still enjoying the warmth and charm of a neighborhood setting ideal for evening ventures and friendly connections. Inside, the open-concept living space creates an easy, comfortable flow for everyday living and entertaining. The spacious primary suite includes its own private bath, and the partially finished basement complete with a cozy propane gas stove provides valuable additional living space perfect for a family room, office, or recreation area. Located within the Schuylerville School District, this home blends convenience, privacy, and community in one inviting package. Also included in in the purchase is a whole house generator just in case the power goes out!!",349000.0,1376.0,,3.0,2.0,2.0,2.0,2.0
single_family,,"**Brand New To Market** First Open House Thursday, March 5, 4:30-6:30pm. Welcome to [Redacted Entity], a classic 4-bedroom colonial nestled on a beautiful 0.4-acre lot in one of Perinton's most desirable neighborhoods. Lovingly maintained by the same owners for nearly 24 years, this home offers the perfect blend of solid craftsmanship and thoughtful updates. The traditional layout offers wonderful flow for both everyday living and entertaining while the hardwood floors add beauty and warmth . The bright, airy kitchen serves as the heart of the home. This thoughtfully updated space features modern white cabinets, pristine quartz counters and durable flooring. The sun-drenched eating area and updated, energy-efficient appliances ensure functionality. With a spacious pantry, this kitchen is as practical as it is beautiful. The formal dining room is ready to host holiday gatherings and memorable dinners with family and friends. Enjoy cozy evenings in the living room gathered around one of two wood-burning fireplaces. Large sliding glass doors lead out to the Trex deck with vinyl railings and pergola, ideal for summer barbecues or enjoying the large private backyard. A second fireplace in the basement offers exciting potential for future finished space. Upstairs, four bedrooms provide plenty of space for family, guests or a home office. Hardwood flooring and cedar-lined closets add character and warmth throughout the second floor while the full bath offers a timeless cast iron tub with shower. The attached two-car garage provides convenience and ample storage. Major updates provide peace of mind, including brand new A/C, furnace 5 years old, updated 200 amp service, a tear-off roof with 50-year GAF shingles, vinyl replacement windows as well as batten and blown-in attic insulation. Located just minutes from Fairport Village, parks, shopping, and commuter routes, this move in ready home presents a wonderful opportunity to build equity over time. Delayed Negotiations until Tuesday, March 10, 2026 at 12pm.",289900.0,1752.0,2.0,4.0,2.0,1.0,1.0,2.0
single_family,,"This home is the perfect blend of timeless character and modern comfort. Situated on a double lot in the village of Phoenix, this home has been renovated from top to bottom. You'll appreciate all of the improvements you cannot see...floor joists, plywood, roof trusses and insulation...as well as all of the beautiful updates you can renovated kitchen with vaulted ceiling, luxurious full bath with soaker tub and brand new shower, all new flooring, some new windows and so much more. The primary bedroom is located on the 1st floor along with 1 full bath, laundry with half bath, large cozy living room and brand new staircase to the 2nd floor. The 2nd floor has one large bedroom that used to be 2 rooms. It could easily be converted back. Outside you will enjoy the new front porch that leads you into the recently added foyer/mudroom. Or, relax on the new large back deck or the 3 season room. A new retaininig wall was added to the back yard and the garage was converted to a true 2 car garage. The property offers a ton of yard space behind and to the right of the garage. This truly is a must see! *Multiple offers recevied. Best & final offers due by 3pm Sunday 3/8/26*",219900.0,1461.0,,2.0,2.0,1.0,1.0,2.0
single_family,,"Exceptional opportunity in the highly sought-after North Colonie School District! [Redacted Entity] offers strong upside potential for buyers looking to renovate, customize, and build equity. Priced at just $299,000, this home presents a rare value opportunity compared to recent neighborhood sales. This property offers buyers the chance to invest below market potential and create meaningful equity through updates and improvements. The home is dated but offers solid bones and a functional layout ready for modernization. Perfect for homeowners looking to update to their own standards or investors seeking a value-add opportunity in a prime location. Home is sold as-is.",299900.0,1432.0,,3.0,2.0,1.0,1.0,1.0
coop,co_op,"This property is a Co-op located in Bayside. Sold as is, buyer must complete their own due diligence and check with city and tax records to determine all details on this unit prior to submitting a bid offer online. This is an AS-IS REO property. Online auction all offers must be submitted online. Buyer pays premium at closing. Subject is located close to all, shopping, restaurants, buses and much more.",182400.0,1453.0,1.0,2.0,1.0,1.0,1.0,
multi_family,,"Welcome to this Two-family home, perfectly positioned in Jamaica, NY. This versatile property exudes a welcoming atmosphere and offers an array of desirable features that cater to your ideal living situation. It has everything that you'd expect from a home of this caliber. The fully finished basement, provides additional living space, complete with a large room and another full bathroom. This semi-detached house offers the advantage of a backyard, ideal for outdoor gatherings and leisure. Nestled in the heart of Jamaica, you'll experience the best of both worlds - a tranquil suburban lifestyle in a charming, while still benefiting from convenient proximity to shopping and transportation options. With local amenities and public transportation within easy reach, this location strikes the perfect balance between urban accessibility and suburban comfort. Don't miss this opportunity to make this two-family home in Jamaica, Queens, your own. PS the subject has water and fire damage.",599900.0,,,8.0,5.0,5.0,5.0,
single_family,,"Welcome to this solid, custom-built stone ranch situated on a corner lot in the Village of Horseheads. Built in 1960, this home offers 1,416 sq. ft. of living space featuring original hardwood floors, gumwood paneling, and a large stone wood-burning fireplace (condition unknown). The main living area is kept comfortable with an AC mini-split unit, complemented by hot water baseboard heat throughout. The main floor includes 1.5 bathrooms and a kitchen with a functional layout ready for your updates. The home features two traditional bedrooms plus a flexible third walk-through room, ideal for a third bedroom, home office, nursery, or den. Outside, you'll find mature landscaping and a lovely fenced-in, private yard filled with perennials and a wide variety of shrubs. The lower level provides significant potential for additional living space. It's clean, dry, and heated, currently housing the laundry, a dedicated storage area, and a great workshop. You'll also find a unique, open ""man-cave"" bathroom (no walls) located downstairs. An attached 1-car garage provides extra room for a vehicle and equipment. Much of the spacious back yard is fenced. Located within the Horseheads Central School District, this property is near schools and Hanover Square. With a beautiful stone exterior and a private lot, this home is a fantastic opportunity for anyone looking to add their own finishing touches to a quality village residence.",219900.0,1416.0,1.0,3.0,3.0,2.0,2.0,1.0
condos,condo,"DOUBLE-HEIGHT DRAMA WITH SWEEPING VIEWS OF THE HUDSON RIVER FROM EVERY ROOM Introducing a transformed Penthouse 88C at Fifteen Hudson Yards-an exquisitely furnished, museum-quality duplex residence soaring nearly 900 feet above Manhattan. Encompassing 5, 139 square feet, this four-bedroom, six-and-a-half-bath penthouse pairs the architectural brilliance of Diller Scofidio + Renfro and the Rockwell Group with a fully realized interior design curated by Studio Zuchowicki . Every detail has been carefully considered, with globally sourced antiques, bespoke furnishings, and custom finishes that create an ambiance of rare refinement. Offered fully furnished, this residence allows for an immediate, effortless transition into a world of sophistication and style. The 88th floor sets the stage with a dramatic 670-square-foot great room featuring soaring 26-foot ceilings, a sculptural double-sided fireplace, and sweeping arcs of glass framing the Hudson River and George Washington Bridge. A Bulthaup eat-in kitchen is outfitted with Miele appliances while an elegant dining room, cozy den, and flexible library/home office or guest suite complete the floor. A floating white oak staircase with brass accents leads to the 89th floor, where a refined sitting area overlooks the great room below. The primary suite is a sanctuary of comfort, offering dual spa-like baths and two custom-designed dressing rooms by The Closet Company . Three additional en-suite bedrooms ensure both privacy and ease, while a private elevator, finished linen closet, utility room with washer/dryer, and dedicated service entrance complete the thoughtful layout. Residents of Fifteen Hudson Yards enjoy over 40, 000 square feet of world-class amenities, including a full-floor spa, aquatics center, fitness facilities, wine storage, private dining suites, a golf simulator lounge, and the Skytop rooftop oasis 900 feet in the air. At the heart of Hudson Yards-directly on the Public Square and Gardens, beside The High Line, and moments from The Shed and West Chelsea's cultural scene-Penthouse 88C redefines modern luxury living. The complete offering terms are in an offering plan available from sponsor. File No. CD15-0325. Sponsor: ERY South Residential Tower L.L.C., c/o The Related Companies, L.P., 30 Hudson Yards, New York, New York 10001. Sponsor reserves the right to make changes in accordance with the terms of the Offering Plan. Equal Housing Opportunity.",21950000.0,5139.0,,4.0,7.0,6.0,6.0,
single_family,,"Investors! Here is a 3 bedroom, 2 full bath, ranch style manufactured home, sitting on 1.5 acres. This home has a newer metal roof, 1152 finished sq ft, vinyl siding, breezeway and a 2 car detached garage. This home was just being rented out at $1200 per month. Priced under the assessed value and is truly a must see!",49900.0,1152.0,1.0,3.0,2.0,2.0,2.0,2.0
single_family,,"Looking for your next investment in a sought-after hamlet of Northern Westchester County? Or hoping to buy a home you can customize yourself? This property would be the ideal scenario. A truly rare offering at an even rarer price in this area. Expansive flat 2-acre lot with in-ground pool in good condition. Ideal for second floor build up in a pristine neighborhood (architectural renderings of second floor build up in listing photos). Minutes to shops, dining, and within an hour of NYC",699000.0,1852.0,,3.0,2.0,2.0,2.0,2.0
single_family,,"THE ONE you've been waiting for, say HELLO [Redacted Entity]!! Sitting on a double lot in a desirable neighborhood, this home has it all! With pride in ownership & over 150k of custom upgrades! Stately Curb appeal shines bright w/ ALL NEW exterior vinyl siding, roof, gutters, windows, doors & professional curb landscaping! The inviting front entry welcomes you inside to bright open foyer. Freshly painted throughout, gleaming hardwoods lead you to an elegant living room w/ modern skylights, cathedral ceilings & fireplace accent. Boasting impressive size & space, natural lighting shines through the large picturesque window & provides plenty of room for enjoying company at home. The open concept layout flows effortlessly into a generous formal dining room w/ plenty of seating room! Prepare to fall in love w/ the modern kitchen fit for any chef!! BRAND NEW granite countertops, recessed lighting, LVP flooring, cabinetry, island & stainless steel appliances (Yes, they STAY!!) New sliders overlook expansive multi leveled deck for entertaining space. Who needs a vacation when you can enjoy your own private resort at home. Enjoy this entertainers paradise , with heated in ground pool, professional concrete landscaping , surrounded by custom outdoor lighting, privacy gate, fire pit, jacuzzi Hot Tub & pool house (providing addtl storage space !!) WOW! R & R awaits with scenic views overlooking a deep private woodlined back yard oasis. Plenty of room to host get togethers with family & friends to soak up the summer sun. But that's not all.. the NEWLY RENOVATED 3 SEASONS ROOM ADDITION offers custom French door entry & sliders to walk out to spacious MULTI tiered deck. Inside, find 3 large sized bedrooms & spacious full bath. A finished 2.5 garage provides extra living space w/ privacy screened doors, epoxy flooring & more! Enjoy a spacious full finished basement downstairs -new LVP flooring & lighting providing a cozy flex Space perfect for a home office or rec room. NEWLY remodeled kitchenette, full bath addition & plenty of storage! BRAND NEW mechanics & Central air! Nothing to do but move in!! Delayed negotiations to 3/9 @6pm Please leave 24 hours for life of offer",359900.0,1563.0,2.0,3.0,3.0,2.0,2.0,2.0
single_family,,"Country Roads Take You Home! Welcome to this beautifully renovated 3-bedroom ranch, perfectly situated on just under an acre along peaceful country surroundings. Built in 1990 and just completely transformed with rustic charm and modern updates, this home offers true move-in ready living. Everything inside is brand new & with a new metal roof and freshly painted outside. Step into a bright, inviting open floor plan designed for today's lifestyle. The stunning new kitchen features butcher block countertops, all-new cabinetry, and brand-new appliances, creating a warm and stylish gathering space that flows seamlessly into the main living area. The main level includes two spacious bedrooms, a full bath, and convenient first-floor laundry. The fully finished basement expands your living space with a third bedroom, second full bath, and flexible area perfect for guests, recreation, or a private retreat. Enjoy peaceful mornings and scenic evenings from the new back deck overlooking beautiful, wooded views, where you can watch deer roam and take in breathtaking sunrises with your morning coffee. Additional highlights include: No sump pump - gravity drain system, New well pump, One-car attached garage, mini-splits for heat & AC. Truly nothing to do but move in and enjoy! Open House: Saturday, March 7th | 11:00 AM - 12:30 PM - Delayed negotiations on file. Offers due Tuesday, 03/10/26 at 3:00 PM.",189900.0,864.0,1.0,3.0,2.0,2.0,2.0,1.0
